EquipmentID;Location;LastDate;initial_date;dvr_OB;dvr_OBV;dvr_OBH;dvr_IB;dvr_IBV;dvr_IBH;dvr_A;dvn_IB;dvn_IBV;dvn_IBH;dvn_OB;dvn_OBV;dvn_OBH;dvn_A;vib_alert;vib_danger;acc_alert;acc_danger;vib_max;acc_max;driver;driven;indikasi;remark;saran
10AUX1;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.5;7.1;5;10;;;MTR;PUMP;;;
10P1 (vertical);FOC I;;09/23/2020;;;;;;;;;;;;;;;4.5;7.1;5;10;;;MTR;PUMP;;;
10P2 (vertical);FOC I;;09/23/2020;;;;;;;;;;;;;;;4.5;7.1;5;10;;;MTR;PUMP;;;
11K401A;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.53;7.16;5;10;;;MTR;COMP;;;
11K401B;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.53;7.16;5;10;;;MTR;COMP;;;
11P10A;FOC I;09/23/2020;09/23/2020;0.6;1.56;2.76;0.4;1.75;2.65;1.13;1.44;1.92;1.77;1.83;1.48;1.39;1.52;4.5;7.1;5;10;2.76;1.83;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, balancing rotor pompa, solo run motor
11P10B;FOC I;09/01/2020;09/23/2020;0.21;0.44;2.48;0.56;1.52;1.52;0.74;2.73;1.39;1.05;2.61;1.43;0.99;1.39;4.5;7.1;5;10;2.48;2.73;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P11;FOC I;09/23/2020;09/23/2020;0.28;1.11;2.96;0.42;1.73;2.83;2.59;0.59;1.53;3.29;0.7;2.03;2.13;2.13;4.5;7.1;5;10;3.29;0.7;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, periksa kondisi kerataan kaki-kaki motor, realignment motor terhadap pompa
11P12;FOC I;09/23/2020;09/23/2020;0.3;1.35;1.37;0.47;0.65;0.9;0.34;0.12;0.39;0.44;0.07;0.35;0.37;0.23;2.82;4.5;5;10;1.37;0.47;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa pondasi dan support pada equipment
11P13A (vertical);FOC I;09/23/2020;09/23/2020;0.23;1.67;1.15;0.26;1.42;0.7;0.72;0.14;0.47;0.55;0.1;0.69;0.45;0.39;2.82;4.5;5;10;1.67;0.26;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa pondasi dan support pada equipment
11P13B (vertical);FOC I;09/23/2020;09/23/2020;0.34;1.02;1.05;0.48;0.74;0.57;1.73;0.19;0.47;0.82;0.16;0.57;0.53;0.54;2.82;4.5;5;10;1.73;0.48;MTR;PUMP;NORMAL, Masih dimonitoring;;Solo run motor, periksa internal part motor, balancing rotor motor
11P22A;FOC I;08/19/2020;09/23/2020;0.29;1.30;4.50;0.46;1.32;3.74;1.79;0.65;1.58;1.59;0.32;1.31;1.42;1.30;4.5;7.1;5;10;4.5;0.65;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
11P22B;FOC I;09/02/2020;09/23/2020;1.52;0.29;0.59;1.11;0.30;0.53;0.58;0.86;1.24;1.01;0.77;1.07;0.75;0.92;4.5;7.1;5;10;1.24;1.52;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa clearence bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
11P23A;FOC I;09/23/2020;09/23/2020;0.39;1.26;1.65;0.37;2;2.3;1.38;0.87;5.13;4.81;1.04;3.6;4.03;3.26;11.2;18;5;10;5.13;1.04;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa, realignment motor terhadap pompa
11P23B;FOC I;05/20/2020;09/23/2020;0.28;1.04;1.21;0.36;0.87;0.90;0.79;1.20;5.29;6.05;4.09;3.44;6.04;2.55;11.2;18;5;10;6.05;4.09;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P24A;FOC I;09/23/2020;09/23/2020;0.63;0.64;0.61;1.85;0.48;0.72;0.53;2.54;1.84;1.2;0.86;1.59;0.94;0.93;4.5;7.1;5;10;1.84;2.54;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P24B;FOC I;09/15/2020;09/23/2020;0.34;0.67;1.27;0.75;0.70;1.20;0.63;1.94;1.15;1.97;1.97;1.14;1.34;0.73;4.5;7.1;5;10;1.97;1.97;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P25A;FOC I;;09/23/2020;;;;;;;;;;;;;;;7.1;11.2;5;10;;;MTR;PUMP;;;
11P25B;FOC I;;09/23/2020;;;;;;;;;;;;;;;7.1;11.2;5;10;;;MTR;PUMP;;;
11P2A;FOC I;09/23/2020;09/23/2020;0.29;1.54;2.26;0.39;0.6;2.04;1.08;0.9;2.77;2.37;1.44;4.91;6.52;1.69;7.1;11.2;5;10;6.52;1.44;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
11P2B;FOC I;09/15/2020;09/23/2020;0.14;0.62;1.88;0.12;0.62;1.26;1.36;0.76;4.08;5.65;2.21;4.81;5.85;1.99;7.1;11.2;5;10;5.85;2.21;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, periksa internal part pompa, balancing rotor pompa
11P2C;FOC I;09/23/2020;09/23/2020;0.28;0.29;0.45;0.31;0.44;0.64;0.38;0.72;1.58;3.33;0.67;2.39;3.22;1.33;7.1;11.2;5;10;3.33;0.72;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
11P3;FOC I;09/23/2020;09/23/2020;0.29;0.29;0.45;0.25;0.26;0.3;0.3;0.12;0.62;0.45;0.21;0.98;0.59;0.73;7.1;11.2;5;10;0.98;0.29;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P4A;FOC I;09/23/2020;09/23/2020;0.13;0.66;1.77;0.1;0.99;1.85;0.54;0.25;1.82;2.83;0.34;2.09;4.17;0.8;11.2;18;5;10;4.17;0.34;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, solo run motor, realignment motor terhadap pompa
11P4B;FOC I;07/28/2020;09/23/2020;0.37;0.57;1.34;1.19;1.22;1.73;1.01;0.68;3.63;3.63;0.49;3.01;2.91;1.26;11.2;18;5;10;3.63;1.19;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa, realignment motor terhadap pompa
